% Module: Sweep, ID: c1p9t16p1cfm0
% Device: dev1389
% Time: 2020/02/18 17:15:17
% Demod 3 Sample R,  /module/c1p9t16p1cf/sweep/dev1389/demods/2/sample.R
% Frequency (Hz); Demod 3 Sample R Amplitude (V)
1000000; 2.19332952365
1019852.905968822; 2.19072220967
1040099.949813051; 2.18884923192
1060748.956314864; 2.18730438327
1081807.905601109; 2.18613900802
1103284.936227336; 2.18506403255
1125188.348323075; 2.18420853487
1147526.606799545; 2.18339876116
1170308.344621057; 2.18257368438
1193542.366141347; 2.18184764514
1217237.650506156; 2.18125055973
1241403.355123363; 2.18055619114
1266048.819202007; 2.18002608811
1291183.567361562; 2.17949194983
1316817.31331288; 2.17901435616
1342959.963612194; 2.17860051393
1369621.62148968; 2.17822681543
1396812.59075398; 2.17789066048
1424543.379774285; 2.1775801733
1452824.705541449; 2.17718881994
1481667.497809745; 2.1768804548
1511082.903320821; 2.17652223826
1541082.290111544; 2.17624499105
1571677.251907342; 2.17593531169
1602879.612602795; 2.17567535129
1634701.430831141; 2.17532144408
1667155.00462453; 2.17506464235
1700252.876166788; 2.17489582871
1734007.836640547; 2.17464324617
1768432.931170572; 2.17451567107
1803541.46386527; 2.17434704661
1839347.002958255; 2.17417589526
1875863.386052019; 2.17401115666
1913104.725465666; 2.17387820117
1951085.413688845; 2.17373912902
1989820.128943946; 2.17357997472
2029323.840858739; 2.17354566417
2069611.816251596; 2.17344779538
2110699.625031602; 2.17329749008
2152603.146215778; 2.17316826941
2195338.574065791; 2.17307705333
2238922.424346446; 2.17292769512
2283371.540708483; 2.17285075526
2328703.101198048; 2.17279700629
2374934.624895437; 2.17269063501
2422083.978685586; 2.1726158109
2470169.384163021; 2.1725388047
2519209.424673867; 2.17245846607
2569223.052497688; 2.17238591922
2620229.596171854; 2.17235769965
2672248.767961378; 2.1722281396
2725300.67147701; 2.17221049103
2779405.809444611; 2.17216607984
2834585.091628713; 2.17211577397
2890859.842913442; 2.17210266471
2948251.81154384; 2.17212858585
3006783.177530829; 2.17209262071
3066476.561222984; 2.17201854763
3127355.032048541; 2.17207590069
3189442.117430917; 2.17200194769
3252761.811881273; 2.17196948677
3317338.586271527; 2.1720152347
3383197.39729152; 2.17197331083
3450363.697093912; 2.17197971957
3518863.443130548; 2.17199916579
3588723.108184143; 2.17190805973
3659969.690599062; 2.17189843074
3732630.724715256; 2.17192903656
3806734.291509364; 2.1718807271
3882309.029446989; 2.1718972937
3959384.145550509; 2.17188106785
4037989.426686568; 2.17190928935
4118155.251077665; 2.17193267072
4199912.600042321; 2.17198659598
4283293.069968232; 2.1720033883
4368328.884523209; 2.17200952632
4455052.907108537; 2.17193164126
4543498.65355949; 2.17202620565
4633700.305098076; 2.17200834334
4725692.72154289; 2.17202621532
4819511.454781218; 2.17202965563
4915192.762508649; 2.17212097407
5012773.622241369; 2.17211397805
5112291.745606718; 2.17210817971
5213785.592917422; 2.17211296741
5317294.38803521; 2.17211075058
5422858.133529418; 2.17216127912
5530517.626136639; 2.17218783355
5640314.472527231; 2.17223298334
5752291.1053849; 2.17230505382
5866490.799805397; 2.17233867884
5982957.690020894; 2.17238776624
6101736.786456306; 2.17241245015
6222873.993124326; 2.17252098874
6346416.12536565; 2.17253770584
6472410.927941551; 2.17258564912
6600907.093485536; 2.17255420605
6731954.281321435; 2.17263565327
6865603.136654918; 2.17272033804
7001905.310146177; 2.17278632501
7140913.47787109; 2.17290306869
7282681.361678759; 2.17291511959
7427263.749953059; 2.17300650421
7574716.518786518; 2.17305329178
7725096.653574454; 2.1731293916
7878462.271037929; 2.17314910028
8034872.641683756; 2.17328184319
8194388.212710564; 2.17331842675
8357070.631369513; 2.17343380658
8522982.768788897; 2.1735520599
8692188.744271552; 2.17362528419
8864753.950074829; 2.17372765053
9040745.076682389; 2.1737818928
9220230.138577854; 2.17382900174
9403278.500529939; 2.17395006504
9589960.904399605; 2.17402585754
9780349.496479331; 2.17415214681
9974517.85537513; 2.17430362873
10172541.02044223; 1.00484135965
10374495.52078505; 0.932530366796
10580459.40483314; 0.913669227496
10790512.27050423; 0.895822334539
11004735.29596597; 0.878522179372
11223211.27100856; 0.861582054406
11446024.62904012; 0.845078501314
11673261.47971725; 0.829409580785
11905009.64222355; 0.813593648236
12141358.67920853; 0.798036960271
12382399.93140057; 0.782886873123
12628226.55290702; 0.768057423692
12878933.54721486; 0.753485234709
13134617.80390642; 0.739265477446
13395378.13610379; 0.725403251361
13661315.31865665; 0.711745095209
13932532.12708837; 0.698355454347
14209133.37731504; 0.685141135644
14491225.9661533; 0.672395886947
14778918.91263229; 0.659597133167
15072323.40012562; 0.647336165674
15371552.81932; 0.635292541907
15676722.81203673; 0.62358997397
15987951.31592335; 0.611711356491
16305358.61003248; 0.60019859616
16629067.36130538; 0.588908974468
16959202.67197855; 0.578043920069
17295892.12793154; 0.567206931211
17639265.84799425; 0.556663185686
17989456.53423353; 0.546246688636
18346599.52323788; 0.536121819783
18710832.83842032; 0.526195430484
19082297.24335982; 0.516408489583
19461136.29620136; 0.506696157211
19847496.40513623; 0.497559085343
20241526.88498393; 0.488243659423
20643380.0148969; 0.479343344197
21053211.09721131; 0.470447550755
21471178.517466; 0.461775595735
21897443.805613; 0.453377377416
22332171.6984434; 0.445162420251
22775530.20325219; 0.436996998217
23227690.66276737; 0.429153160421
23688827.82136822; 0.421115790215
24159119.89261741; 0.413537522036
24638748.62813504; 0.406098820431
25127899.38783885; 0.398676017479
25626761.21157958; 0.391907607052
26135526.89219853; 0.384936729808
26654393.05003496; 0.377844897791
27183560.20891333; 0.371466584817
27723232.87363869; 0.364827726897
28273619.60903074; 0.358133796746
28834933.12052707; 0.352023051964
29407390.33638616; 0.34592951834
29991212.49152282; 0.34001214057
30586625.21300798; 0.33446359803
31193858.60726543; 0.329482780056
31813147.3490002; 0.324615584441
32444730.77189218; 0.319954303091
33088852.96109023; 0.315055938548
33745762.84754293; 0.310295491916
34415714.30420137; 0.306030340846
35098966.24413245; 0.301632715805
35795782.72058007; 0.297304754813
36506433.02901213; 0.29266539463
37231191.8111942; 0.287942955457
37970339.16132902; 0.283053326164
38724160.73430309; 0.27775047857
39492947.85608275; 0.272380170803
40276997.63630115; 0.266760274219
41076613.08308102; 0.26131276777
41892103.22013711; 0.255795347574
42723783.20620268; 0.250800906373
43571974.45682776; 0.245745627917
44437004.76859508; 0.241125677018
45319208.445802; 0.236466427039
46218926.42965794; 0.231858584412
47136506.43004585; 0.227341701373
48072303.05990022; 0.222778874483
49026677.97225314; 0.218311189906
49999999.99999999; 0.0230311750789
